id	posx	posy	h	type	mass	dx	dy
0	-0.500000	0.083333	0.005000	1	0.025000	0.005000	0.005000
1	-0.500000	0.078283	0.005000	1	0.025000	0.005000	0.005000
2	-0.500000	0.073232	0.005000	1	0.025000	0.005000	0.005000
3	-0.500000	0.068182	0.005000	1	0.025000	0.005000	0.005000
4	-0.500000	0.063131	0.005000	1	0.025000	0.005000	0.005000
5	-0.500000	0.058081	0.005000	1	0.025000	0.005000	0.005000
6	-0.500000	0.053030	0.005000	1	0.025000	0.005000	0.005000
7	-0.500000	0.047980	0.005000	1	0.025000	0.005000	0.005000
8	-0.500000	0.042929	0.005000	1	0.025000	0.005000	0.005000
9	-0.500000	0.037879	0.005000	1	0.025000	0.005000	0.005000
10	-0.500000	0.032828	0.005000	1	0.025000	0.005000	0.005000
11	-0.500000	0.027778	0.005000	1	0.025000	0.005000	0.005000
12	-0.500000	0.022727	0.005000	1	0.025000	0.005000	0.005000
13	-0.500000	0.017677	0.005000	1	0.025000	0.005000	0.005000
14	-0.500000	0.012626	0.005000	1	0.025000	0.005000	0.005000
15	-0.500000	0.007576	0.005000	1	0.025000	0.005000	0.005000
16	-0.500000	0.002525	0.005000	1	0.025000	0.005000	0.005000
17	-0.500000	-0.002525	0.005000	1	0.025000	0.005000	0.005000
18	-0.500000	-0.007576	0.005000	1	0.025000	0.005000	0.005000
19	-0.500000	-0.012626	0.005000	1	0.025000	0.005000	0.005000
20	-0.500000	-0.017677	0.005000	1	0.025000	0.005000	0.005000
21	-0.500000	-0.022727	0.005000	1	0.025000	0.005000	0.005000
22	-0.500000	-0.027778	0.005000	1	0.025000	0.005000	0.005000
23	-0.500000	-0.032828	0.005000	1	0.025000	0.005000	0.005000
24	-0.500000	-0.037879	0.005000	1	0.025000	0.005000	0.005000
25	-0.500000	-0.042929	0.005000	1	0.025000	0.005000	0.005000
26	-0.500000	-0.047980	0.005000	1	0.025000	0.005000	0.005000
27	-0.500000	-0.053030	0.005000	1	0.025000	0.005000	0.005000
28	-0.500000	-0.058081	0.005000	1	0.025000	0.005000	0.005000
29	-0.500000	-0.063131	0.005000	1	0.025000	0.005000	0.005000
30	-0.500000	-0.068182	0.005000	1	0.025000	0.005000	0.005000
31	-0.500000	-0.073232	0.005000	1	0.025000	0.005000	0.005000
32	-0.500000	-0.078283	0.005000	1	0.025000	0.005000	0.005000
33	-0.500000	-0.083333	0.005000	1	0.025000	0.005000	0.005000
34	-0.494949	-0.083333	0.005000	1	0.025000	0.005000	0.005000
35	-0.489899	-0.083333	0.005000	1	0.025000	0.005000	0.005000
36	-0.484848	-0.083333	0.005000	1	0.025000	0.005000	0.005000
37	-0.479798	-0.083333	0.005000	1	0.025000	0.005000	0.005000
38	-0.474747	-0.083333	0.005000	1	0.025000	0.005000	0.005000
39	-0.469697	-0.083333	0.005000	1	0.025000	0.005000	0.005000
40	-0.464646	-0.083333	0.005000	1	0.025000	0.005000	0.005000
41	-0.459596	-0.083333	0.005000	1	0.025000	0.005000	0.005000
42	-0.454545	-0.083333	0.005000	1	0.025000	0.005000	0.005000
43	-0.449495	-0.083333	0.005000	1	0.025000	0.005000	0.005000
44	-0.444444	-0.083333	0.005000	1	0.025000	0.005000	0.005000
45	-0.439394	-0.083333	0.005000	1	0.025000	0.005000	0.005000
46	-0.434343	-0.083333	0.005000	1	0.025000	0.005000	0.005000
47	-0.429293	-0.083333	0.005000	1	0.025000	0.005000	0.005000
48	-0.424242	-0.083333	0.005000	1	0.025000	0.005000	0.005000
49	-0.419192	-0.083333	0.005000	1	0.025000	0.005000	0.005000
50	-0.414141	-0.083333	0.005000	1	0.025000	0.005000	0.005000
51	-0.409091	-0.083333	0.005000	1	0.025000	0.005000	0.005000
52	-0.404040	-0.083333	0.005000	1	0.025000	0.005000	0.005000
53	-0.398990	-0.083333	0.005000	1	0.025000	0.005000	0.005000
54	-0.393939	-0.083333	0.005000	1	0.025000	0.005000	0.005000
55	-0.388889	-0.083333	0.005000	1	0.025000	0.005000	0.005000
56	-0.383838	-0.083333	0.005000	1	0.025000	0.005000	0.005000
57	-0.378788	-0.083333	0.005000	1	0.025000	0.005000	0.005000
58	-0.373737	-0.083333	0.005000	1	0.025000	0.005000	0.005000
59	-0.368687	-0.083333	0.005000	1	0.025000	0.005000	0.005000
60	-0.363636	-0.083333	0.005000	1	0.025000	0.005000	0.005000
61	-0.358586	-0.083333	0.005000	1	0.025000	0.005000	0.005000
62	-0.353535	-0.083333	0.005000	1	0.025000	0.005000	0.005000
63	-0.348485	-0.083333	0.005000	1	0.025000	0.005000	0.005000
64	-0.343434	-0.083333	0.005000	1	0.025000	0.005000	0.005000
65	-0.338384	-0.083333	0.005000	1	0.025000	0.005000	0.005000
66	-0.333333	-0.083333	0.005000	1	0.025000	0.005000	0.005000
67	-0.333333	-0.063131	0.005000	1	0.025000	0.005000	0.005000
68	-0.333333	-0.058081	0.005000	1	0.025000	0.005000	0.005000
69	-0.333333	-0.053030	0.005000	1	0.025000	0.005000	0.005000
70	-0.333333	-0.047980	0.005000	1	0.025000	0.005000	0.005000
71	-0.333333	-0.042929	0.005000	1	0.025000	0.005000	0.005000
72	-0.333333	-0.037879	0.005000	1	0.025000	0.005000	0.005000
73	-0.333333	-0.032828	0.005000	1	0.025000	0.005000	0.005000
74	-0.333333	-0.027778	0.005000	1	0.025000	0.005000	0.005000
75	-0.333333	-0.022727	0.005000	1	0.025000	0.005000	0.005000
76	-0.333333	-0.017677	0.005000	1	0.025000	0.005000	0.005000
77	-0.333333	-0.012626	0.005000	1	0.025000	0.005000	0.005000
