id	posx	posy	h	type	mass	dx	dy
0	-0.500000	0.072464	0.004348	1	0.018904	0.004348	0.004348
1	-0.500000	0.068072	0.004348	1	0.018904	0.004348	0.004348
2	-0.500000	0.063680	0.004348	1	0.018904	0.004348	0.004348
3	-0.500000	0.059289	0.004348	1	0.018904	0.004348	0.004348
4	-0.500000	0.054897	0.004348	1	0.018904	0.004348	0.004348
5	-0.500000	0.050505	0.004348	1	0.018904	0.004348	0.004348
6	-0.500000	0.046113	0.004348	1	0.018904	0.004348	0.004348
7	-0.500000	0.041722	0.004348	1	0.018904	0.004348	0.004348
8	-0.500000	0.037330	0.004348	1	0.018904	0.004348	0.004348
9	-0.500000	0.032938	0.004348	1	0.018904	0.004348	0.004348
10	-0.500000	0.028546	0.004348	1	0.018904	0.004348	0.004348
11	-0.500000	0.024155	0.004348	1	0.018904	0.004348	0.004348
12	-0.500000	0.019763	0.004348	1	0.018904	0.004348	0.004348
13	-0.500000	0.015371	0.004348	1	0.018904	0.004348	0.004348
14	-0.500000	0.010979	0.004348	1	0.018904	0.004348	0.004348
15	-0.500000	0.006588	0.004348	1	0.018904	0.004348	0.004348
16	-0.500000	0.002196	0.004348	1	0.018904	0.004348	0.004348
17	-0.500000	-0.002196	0.004348	1	0.018904	0.004348	0.004348
18	-0.500000	-0.006588	0.004348	1	0.018904	0.004348	0.004348
19	-0.500000	-0.010979	0.004348	1	0.018904	0.004348	0.004348
20	-0.500000	-0.015371	0.004348	1	0.018904	0.004348	0.004348
21	-0.500000	-0.019763	0.004348	1	0.018904	0.004348	0.004348
22	-0.500000	-0.024155	0.004348	1	0.018904	0.004348	0.004348
23	-0.500000	-0.028546	0.004348	1	0.018904	0.004348	0.004348
24	-0.500000	-0.032938	0.004348	1	0.018904	0.004348	0.004348
25	-0.500000	-0.037330	0.004348	1	0.018904	0.004348	0.004348
26	-0.500000	-0.041722	0.004348	1	0.018904	0.004348	0.004348
27	-0.500000	-0.046113	0.004348	1	0.018904	0.004348	0.004348
28	-0.500000	-0.050505	0.004348	1	0.018904	0.004348	0.004348
29	-0.500000	-0.054897	0.004348	1	0.018904	0.004348	0.004348
30	-0.500000	-0.059289	0.004348	1	0.018904	0.004348	0.004348
31	-0.500000	-0.063680	0.004348	1	0.018904	0.004348	0.004348
32	-0.500000	-0.068072	0.004348	1	0.018904	0.004348	0.004348
33	-0.500000	-0.072464	0.004348	1	0.018904	0.004348	0.004348
34	-0.495608	-0.072464	0.004348	1	0.018904	0.004348	0.004348
35	-0.491217	-0.072464	0.004348	1	0.018904	0.004348	0.004348
36	-0.486825	-0.072464	0.004348	1	0.018904	0.004348	0.004348
37	-0.482433	-0.072464	0.004348	1	0.018904	0.004348	0.004348
38	-0.478041	-0.072464	0.004348	1	0.018904	0.004348	0.004348
39	-0.473650	-0.072464	0.004348	1	0.018904	0.004348	0.004348
40	-0.469258	-0.072464	0.004348	1	0.018904	0.004348	0.004348
41	-0.464866	-0.072464	0.004348	1	0.018904	0.004348	0.004348
42	-0.460474	-0.072464	0.004348	1	0.018904	0.004348	0.004348
43	-0.456083	-0.072464	0.004348	1	0.018904	0.004348	0.004348
44	-0.451691	-0.072464	0.004348	1	0.018904	0.004348	0.004348
45	-0.447299	-0.072464	0.004348	1	0.018904	0.004348	0.004348
46	-0.442907	-0.072464	0.004348	1	0.018904	0.004348	0.004348
47	-0.438516	-0.072464	0.004348	1	0.018904	0.004348	0.004348
48	-0.434124	-0.072464	0.004348	1	0.018904	0.004348	0.004348
49	-0.429732	-0.072464	0.004348	1	0.018904	0.004348	0.004348
50	-0.425340	-0.072464	0.004348	1	0.018904	0.004348	0.004348
51	-0.420949	-0.072464	0.004348	1	0.018904	0.004348	0.004348
52	-0.416557	-0.072464	0.004348	1	0.018904	0.004348	0.004348
53	-0.412165	-0.072464	0.004348	1	0.018904	0.004348	0.004348
54	-0.407773	-0.072464	0.004348	1	0.018904	0.004348	0.004348
55	-0.403382	-0.072464	0.004348	1	0.018904	0.004348	0.004348
56	-0.398990	-0.072464	0.004348	1	0.018904	0.004348	0.004348
57	-0.394598	-0.072464	0.004348	1	0.018904	0.004348	0.004348
58	-0.390206	-0.072464	0.004348	1	0.018904	0.004348	0.004348
59	-0.385815	-0.072464	0.004348	1	0.018904	0.004348	0.004348
60	-0.381423	-0.072464	0.004348	1	0.018904	0.004348	0.004348
61	-0.377031	-0.072464	0.004348	1	0.018904	0.004348	0.004348
62	-0.372639	-0.072464	0.004348	1	0.018904	0.004348	0.004348
63	-0.368248	-0.072464	0.004348	1	0.018904	0.004348	0.004348
64	-0.363856	-0.072464	0.004348	1	0.018904	0.004348	0.004348
65	-0.359464	-0.072464	0.004348	1	0.018904	0.004348	0.004348
66	-0.355072	-0.072464	0.004348	1	0.018904	0.004348	0.004348
67	-0.355072	-0.054897	0.004348	1	0.018904	0.004348	0.004348
68	-0.355072	-0.050505	0.004348	1	0.018904	0.004348	0.004348
69	-0.355072	-0.046113	0.004348	1	0.018904	0.004348	0.004348
70	-0.355072	-0.041722	0.004348	1	0.018904	0.004348	0.004348
71	-0.355072	-0.037330	0.004348	1	0.018904	0.004348	0.004348
72	-0.355072	-0.032938	0.004348	1	0.018904	0.004348	0.004348
73	-0.355072	-0.028546	0.004348	1	0.018904	0.004348	0.004348
74	-0.355072	-0.024155	0.004348	1	0.018904	0.004348	0.004348
75	-0.355072	-0.019763	0.004348	1	0.018904	0.004348	0.004348
76	-0.355072	-0.015371	0.004348	1	0.018904	0.004348	0.004348
77	-0.355072	-0.010979	0.004348	1	0.018904	0.004348	0.004348
78	-0.355072	-0.006588	0.004348	1	0.018904	0.004348	0.004348
79	-0.355072	-0.002196	0.004348	1	0.018904	0.004348	0.004348
80	-0.355072	0.002196	0.004348	1	0.018904	0.004348	0.004348
81	-0.355072	0.006588	0.004348	1	0.018904	0.004348	0.004348
82	-0.355072	0.010979	0.004348	1	0.018904	0.004348	0.004348
83	-0.355072	0.015371	0.004348	1	0.018904	0.004348	0.004348
84	-0.355072	0.019763	0.004348	1	0.018904	0.004348	0.004348
85	-0.355072	0.024155	0.004348	1	0.018904	0.004348	0.004348
86	-0.355072	0.028546	0.004348	1	0.018904	0.004348	0.004348
87	-0.355072	0.032938	0.004348	1	0.018904	0.004348	0.004348
88	-0.355072	0.037330	0.004348	1	0.018904	0.004348	0.004348
89	-0.355072	0.041722	0.004348	1	0.018904	0.004348	0.004348
90	-0.355072	0.046113	0.004348	1	0.018904	0.004348	0.004348
91	-0.355072	0.050505	0.004348	1	0.018904	0.004348	0.004348
92	-0.355072	0.054897	0.004348	1	0.018904	0.004348	0.004348
93	-0.355072	0.059289	0.004348	1	0.018904	0.004348	0.004348
94	-0.355072	0.063680	0.004348	1	0.018904	0.004348	0.004348
95	-0.355072	0.068072	0.004348	1	0.018904	0.004348	0.004348
96	-0.355072	0.072464	0.004348	1	0.018904	0.004348	0.004348
97	-0.359464	0.072464	0.004348	1	0.018904	0.004348	0.004348
98	-0.363856	0.072464	0.004348	1	0.018904	0.004348	0.004348
99	-0.368248	0.072464	0.004348	1	0.018904	0.004348	0.004348
100	-0.372639	0.072464	0.004348	1	0.018904	0.004348	0.004348
101	-0.377031	0.072464	0.004348	1	0.018904	0.004348	0.004348
102	-0.381423	0.072464	0.004348	1	0.018904	0.004348	0.004348
103	-0.385815	0.072464	0.004348	1	0.018904	0.004348	0.004348
104	-0.390206	0.072464	0.004348	1	0.018904	0.004348	0.004348
105	-0.394598	0.072464	0.004348	1	0.018904	0.004348	0.004348
106	-0.398990	0.072464	0.004348	1	0.018904	0.004348	0.004348
107	-0.403382	0.072464	0.004348	1	0.018904	0.004348	0.004348
108	-0.407773	0.072464	0.004348	1	0.018904	0.004348	0.004348
109	-0.412165	0.072464	0.004348	1	0.018904	0.004348	0.004348
110	-0.416557	0.072464	0.004348	1	0.018904	0.004348	0.004348
111	-0.420949	0.072464	0.004348	1	0.018904	0.004348	0.004348
112	-0.425340	0.072464	0.004348	1	0.018904	0.004348	0.004348
113	-0.429732	0.072464	0.004348	1	0.018904	0.004348	0.004348
114	-0.434124	0.072464	0.004348	1	0.018904	0.004348	0.004348
115	-0.438516	0.072464	0.004348	1	0.018904	0.004348	0.004348
116	-0.442907	0.072464	0.004348	1	0.018904	0.004348	0.004348
117	-0.447299	0.072464	0.004348	1	0.018904	0.004348	0.004348
118	-0.451691	0.072464	0.004348	1	0.018904	0.004348	0.004348
119	-0.456083	0.072464	0.004348	1	0.018904	0.004348	0.004348
120	-0.460474	0.072464	0.004348	1	0.018904	0.004348	0.004348
121	-0.464866	0.072464	0.004348	1	0.018904	0.004348	0.004348
122	-0.469258	0.072464	0.004348	1	0.018904	0.004348	0.004348
123	-0.473650	0.072464	0.004348	1	0.018904	0.004348	0.004348
124	-0.478041	0.072464	0.004348	1	0.018904	0.004348	0.004348
125	-0.482433	0.072464	0.004348	1	0.018904	0.004348	0.004348
126	-0.486825	0.072464	0.004348	1	0.018904	0.004348	0.004348
127	-0.491217	0.072464	0.004348	1	0.018904	0.004348	0.004348
128	-0.495608	0.072464	0.004348	1	0.018904	0.004348	0.004348
129	-0.350681	-0.072464	0.004348	1	0.018904	0.004348	0.004348
130	-0.346289	-0.072464	0.004348	1	0.018904	0.004348	0.004348
131	-0.341897	-0.072464	0.004348	1	0.018904	0.004348	0.004348
132	-0.337505	-0.072464	0.004348	1	0.018904	0.004348	0.004348
133	-0.333114	-0.072464	0.004348	1	0.018904	0.004348	0.004348
134	-0.328722	-0.072464	0.004348	1	0.018904	0.004348	0.004348
135	-0.324330	-0.072464	0.004348	1	0.018904	0.004348	0.004348
136	-0.319939	-0.072464	0.004348	1	0.018904	0.004348	0.004348
137	-0.315547	-0.072464	0.004348	1	0.018904	0.004348	0.004348
138	-0.311155	-0.072464	0.004348	1	0.018904	0.004348	0.004348
139	-0.306763	-0.072464	0.004348	1	0.018904	0.004348	0.004348
140	-0.302372	-0.072464	0.004348	1	0.018904	0.004348	0.004348
141	-0.297980	-0.072464	0.004348	1	0.018904	0.004348	0.004348
142	-0.293588	-0.072464	0.004348	1	0.018904	0.004348	0.004348
143	-0.289196	-0.072464	0.004348	1	0.018904	0.004348	0.004348
144	-0.284805	-0.072464	0.004348	1	0.018904	0.004348	0.004348
145	-0.280413	-0.072464	0.004348	1	0.018904	0.004348	0.004348
146	-0.276021	-0.072464	0.004348	1	0.018904	0.004348	0.004348
147	-0.271629	-0.072464	0.004348	1	0.018904	0.004348	0.004348
148	-0.267238	-0.072464	0.004348	1	0.018904	0.004348	0.004348
149	-0.262846	-0.072464	0.004348	1	0.018904	0.004348	0.004348
150	-0.258454	-0.072464	0.004348	1	0.018904	0.004348	0.004348
151	-0.254062	-0.072464	0.004348	1	0.018904	0.004348	0.004348
152	-0.249671	-0.072464	0.004348	1	0.018904	0.004348	0.004348
153	-0.245279	-0.072464	0.004348	1	0.018904	0.004348	0.004348
154	-0.240887	-0.072464	0.004348	1	0.018904	0.004348	0.004348
155	-0.236495	-0.072464	0.004348	1	0.018904	0.004348	0.004348
156	-0.232104	-0.072464	0.004348	1	0.018904	0.004348	0.004348
157	-0.227712	-0.072464	0.004348	1	0.018904	0.004348	0.004348
158	-0.223320	-0.072464	0.004348	1	0.018904	0.004348	0.004348
159	-0.218928	-0.072464	0.004348	1	0.018904	0.004348	0.004348
160	-0.214537	-0.072464	0.004348	1	0.018904	0.004348	0.004348
161	-0.210145	-0.072464	0.004348	1	0.018904	0.004348	0.004348
162	-0.210145	-0.068072	0.004348	1	0.018904	0.004348	0.004348
163	-0.210145	-0.063680	0.004348	1	0.018904	0.004348	0.004348
164	-0.210145	-0.059289	0.004348	1	0.018904	0.004348	0.004348
165	-0.210145	-0.054897	0.004348	1	0.018904	0.004348	0.004348
166	-0.210145	-0.050505	0.004348	1	0.018904	0.004348	0.004348
167	-0.210145	-0.046113	0.004348	1	0.018904	0.004348	0.004348
168	-0.210145	-0.041722	0.004348	1	0.018904	0.004348	0.004348
169	-0.210145	-0.037330	0.004348	1	0.018904	0.004348	0.004348
170	-0.210145	-0.032938	0.004348	1	0.018904	0.004348	0.004348
171	-0.210145	-0.028546	0.004348	1	0.018904	0.004348	0.004348
172	-0.210145	-0.024155	0.004348	1	0.018904	0.004348	0.004348
173	-0.210145	-0.019763	0.004348	1	0.018904	0.004348	0.004348
174	-0.210145	-0.015371	0.004348	1	0.018904	0.004348	0.004348
175	-0.210145	-0.010979	0.004348	1	0.018904	0.004348	0.004348
176	-0.210145	-0.006588	0.004348	1	0.018904	0.004348	0.004348
177	-0.210145	-0.002196	0.004348	1	0.018904	0.004348	0.004348
178	-0.210145	0.002196	0.004348	1	0.018904	0.004348	0.004348
179	-0.210145	0.006588	0.004348	1	0.018904	0.004348	0.004348
180	-0.210145	0.010979	0.004348	1	0.018904	0.004348	0.004348
181	-0.210145	0.015371	0.004348	1	0.018904	0.004348	0.004348
182	-0.210145	0.019763	0.004348	1	0.018904	0.004348	0.004348
183	-0.210145	0.024155	0.004348	1	0.018904	0.004348	0.004348
184	-0.210145	0.028546	0.004348	1	0.018904	0.004348	0.004348
185	-0.210145	0.032938	0.004348	1	0.018904	0.004348	0.004348
186	-0.210145	0.037330	0.004348	1	0.018904	0.004348	0.004348
187	-0.210145	0.041722	0.004348	1	0.018904	0.004348	0.004348
188	-0.210145	0.046113	0.004348	1	0.018904	0.004348	0.004348
189	-0.210145	0.050505	0.004348	1	0.018904	0.004348	0.004348
190	-0.210145	0.054897	0.004348	1	0.018904	0.004348	0.004348
191	-0.210145	0.059289	0.004348	1	0.018904	0.004348	0.004348
192	-0.210145	0.063680	0.004348	1	0.018904	0.004348	0.004348
193	-0.210145	0.068072	0.004348	1	0.018904	0.004348	0.004348
194	-0.210145	0.072464	0.004348	1	0.018904	0.004348	0.004348
195	-0.214674	0.072464	0.004348	1	0.018904	0.004348	0.004348
196	-0.219203	0.072464	0.004348	1	0.018904	0.004348	0.004348
197	-0.223732	0.072464	0.004348	1	0.018904	0.004348	0.004348
198	-0.228261	0.072464	0.004348	1	0.018904	0.004348	0.004348
199	-0.232790	0.072464	0.004348	1	0.018904	0.004348	0.004348
200	-0.237319	0.072464	0.004348	1	0.018904	0.004348	0.004348
201	-0.241848	0.072464	0.004348	1	0.018904	0.004348	0.004348
202	-0.246377	0.072464	0.004348	1	0.018904	0.004348	0.004348
203	-0.250906	0.072464	0.004348	1	0.018904	0.004348	0.004348
204	-0.255435	0.072464	0.004348	1	0.018904	0.004348	0.004348
205	-0.259964	0.072464	0.004348	1	0.018904	0.004348	0.004348
206	-0.264493	0.072464	0.004348	1	0.018904	0.004348	0.004348
207	-0.269022	0.072464	0.004348	1	0.018904	0.004348	0.004348
208	-0.273551	0.072464	0.004348	1	0.018904	0.004348	0.004348
209	-0.278080	0.072464	0.004348	1	0.018904	0.004348	0.004348
210	-0.282609	0.072464	0.004348	1	0.018904	0.004348	0.004348
211	-0.282609	0.067966	0.004348	1	0.018904	0.004348	0.004348
212	-0.282609	0.063468	0.004348	1	0.018904	0.004348	0.004348
213	-0.282609	0.058971	0.004348	1	0.018904	0.004348	0.004348
214	-0.282609	0.054473	0.004348	1	0.018904	0.004348	0.004348
215	-0.282609	0.049975	0.004348	1	0.018904	0.004348	0.004348
216	-0.282609	0.045477	0.004348	1	0.018904	0.004348	0.004348
217	-0.282609	0.040980	0.004348	1	0.018904	0.004348	0.004348
218	-0.282609	0.036482	0.004348	1	0.018904	0.004348	0.004348
219	-0.282609	0.031984	0.004348	1	0.018904	0.004348	0.004348
220	-0.282609	0.027486	0.004348	1	0.018904	0.004348	0.004348
221	-0.282609	0.022989	0.004348	1	0.018904	0.004348	0.004348
222	-0.282609	0.018491	0.004348	1	0.018904	0.004348	0.004348
223	-0.282609	0.013993	0.004348	1	0.018904	0.004348	0.004348
224	-0.282609	0.009495	0.004348	1	0.018904	0.004348	0.004348
225	-0.282609	0.004998	0.004348	1	0.018904	0.004348	0.004348
226	-0.282609	0.000500	0.004348	1	0.018904	0.004348	0.004348
227	-0.282609	-0.003998	0.004348	1	0.018904	0.004348	0.004348
228	-0.282609	-0.008496	0.004348	1	0.018904	0.004348	0.004348
229	-0.282609	-0.012994	0.004348	1	0.018904	0.004348	0.004348
230	-0.282609	-0.017491	0.004348	1	0.018904	0.004348	0.004348
231	-0.282609	-0.021989	0.004348	1	0.018904	0.004348	0.004348
232	-0.282609	-0.026487	0.004348	1	0.018904	0.004348	0.004348
