posx	posy	h	type	mass	dx	dy
-0.500000	0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.068072	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.063680	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.059289	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.054897	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.050505	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.046113	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.041722	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.037330	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.032938	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.028546	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.024155	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.019763	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.015371	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.010979	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.006588	0.004348	1	0.018904	0.004348	0.004348
-0.500000	0.002196	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.002196	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.006588	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.010979	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.015371	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.019763	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.024155	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.028546	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.032938	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.037330	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.041722	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.046113	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.050505	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.054897	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.059289	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.063680	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.068072	0.004348	1	0.018904	0.004348	0.004348
-0.500000	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.495608	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.491217	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.486825	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.482433	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.478041	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.473650	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.469258	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.464866	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.460474	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.456083	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.451691	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.447299	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.442907	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.438516	-0.072464	0.004348	1	0.018904	0.004348	0.004348
