posx	posy	h	type	mass	dx	dy
-0.490000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.482000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.474000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.466000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.458000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.450000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.442000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.434000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.426000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.418000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.410000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.402000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.394000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.386000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.378000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.370000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.362000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.354000	-0.070000	0.008000	0	0.064000	0.008000	0.008000
-0.490000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.482000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.474000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.466000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.458000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.450000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.442000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.434000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.426000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.418000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.410000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.402000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.394000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.386000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.378000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.370000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.362000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.354000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
-0.490000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.482000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.474000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.466000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.458000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.450000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.442000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.434000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.426000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.418000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.410000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.402000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.394000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.386000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.378000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.370000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.362000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.354000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
-0.490000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.482000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.474000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.466000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.458000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.450000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.442000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.434000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.426000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.418000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.410000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.402000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.394000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.386000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.378000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.370000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.362000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.354000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
-0.490000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.482000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.474000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.466000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.458000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.450000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.442000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.434000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.426000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.418000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.410000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.402000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.394000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.386000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.378000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.370000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.362000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.354000	-0.038000	0.008000	0	0.064000	0.008000	0.008000
-0.490000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.482000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.474000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.466000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.458000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.450000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.442000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.434000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.426000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.418000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.410000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.402000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.394000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.386000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.378000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.370000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.362000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.354000	-0.030000	0.008000	0	0.064000	0.008000	0.008000
-0.490000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.482000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.474000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.466000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.458000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.450000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.442000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.434000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.426000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.418000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.410000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.402000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.394000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.386000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.378000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.370000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.362000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
