id	posx	posy	h	type
0	-0.500000	0.125000	0.010000	1
1	-0.500000	0.117424	0.010000	1
2	-0.500000	0.109848	0.010000	1
3	-0.500000	0.102273	0.010000	1
4	-0.500000	0.094697	0.010000	1
5	-0.500000	0.087121	0.010000	1
6	-0.500000	0.079545	0.010000	1
7	-0.500000	0.071970	0.010000	1
8	-0.500000	0.064394	0.010000	1
9	-0.500000	0.056818	0.010000	1
10	-0.500000	0.049242	0.010000	1
11	-0.500000	0.041667	0.010000	1
12	-0.500000	0.034091	0.010000	1
13	-0.500000	0.026515	0.010000	1
14	-0.500000	0.018939	0.010000	1
15	-0.500000	0.011364	0.010000	1
16	-0.500000	0.003788	0.010000	1
17	-0.500000	-0.003788	0.010000	1
18	-0.500000	-0.011364	0.010000	1
19	-0.500000	-0.018939	0.010000	1
20	-0.500000	-0.026515	0.010000	1
21	-0.500000	-0.034091	0.010000	1
22	-0.500000	-0.041667	0.010000	1
23	-0.500000	-0.049242	0.010000	1
24	-0.500000	-0.056818	0.010000	1
25	-0.500000	-0.064394	0.010000	1
26	-0.500000	-0.071970	0.010000	1
27	-0.500000	-0.079545	0.010000	1
28	-0.500000	-0.087121	0.010000	1
29	-0.500000	-0.094697	0.010000	1
30	-0.500000	-0.102273	0.010000	1
31	-0.500000	-0.109848	0.010000	1
32	-0.500000	-0.117424	0.010000	1
33	-0.500000	-0.125000	0.010000	1
34	-0.492424	-0.125000	0.010000	1
35	-0.484848	-0.125000	0.010000	1
36	-0.477273	-0.125000	0.010000	1
37	-0.469697	-0.125000	0.010000	1
38	-0.462121	-0.125000	0.010000	1
39	-0.454545	-0.125000	0.010000	1
40	-0.446970	-0.125000	0.010000	1
41	-0.439394	-0.125000	0.010000	1
42	-0.431818	-0.125000	0.010000	1
43	-0.424242	-0.125000	0.010000	1
44	-0.416667	-0.125000	0.010000	1
45	-0.409091	-0.125000	0.010000	1
46	-0.401515	-0.125000	0.010000	1
47	-0.393939	-0.125000	0.010000	1
48	-0.386364	-0.125000	0.010000	1
49	-0.378788	-0.125000	0.010000	1
50	-0.371212	-0.125000	0.010000	1
51	-0.363636	-0.125000	0.010000	1
52	-0.356061	-0.125000	0.010000	1
53	-0.348485	-0.125000	0.010000	1
54	-0.340909	-0.125000	0.010000	1
55	-0.333333	-0.125000	0.010000	1
56	-0.325758	-0.125000	0.010000	1
57	-0.318182	-0.125000	0.010000	1
