id	posx	posy	h	type
0	-0.500000	0.072464	0.010000	1
1	-0.500000	0.068072	0.010000	1
2	-0.500000	0.063680	0.010000	1
3	-0.500000	0.059289	0.010000	1
4	-0.500000	0.054897	0.010000	1
5	-0.500000	0.050505	0.010000	1
6	-0.500000	0.046113	0.010000	1
7	-0.500000	0.041722	0.010000	1
8	-0.500000	0.037330	0.010000	1
9	-0.500000	0.032938	0.010000	1
10	-0.500000	0.028546	0.010000	1
11	-0.500000	0.024155	0.010000	1
12	-0.500000	0.019763	0.010000	1
13	-0.500000	0.015371	0.010000	1
14	-0.500000	0.010979	0.010000	1
15	-0.500000	0.006588	0.010000	1
16	-0.500000	0.002196	0.010000	1
17	-0.500000	-0.002196	0.010000	1
18	-0.500000	-0.006588	0.010000	1
19	-0.500000	-0.010979	0.010000	1
20	-0.500000	-0.015371	0.010000	1
21	-0.500000	-0.019763	0.010000	1
22	-0.500000	-0.024155	0.010000	1
23	-0.500000	-0.028546	0.010000	1
24	-0.500000	-0.032938	0.010000	1
25	-0.500000	-0.037330	0.010000	1
26	-0.500000	-0.041722	0.010000	1
27	-0.500000	-0.046113	0.010000	1
28	-0.500000	-0.050505	0.010000	1
29	-0.500000	-0.054897	0.010000	1
30	-0.500000	-0.059289	0.010000	1
31	-0.500000	-0.063680	0.010000	1
32	-0.500000	-0.068072	0.010000	1
33	-0.500000	-0.072464	0.010000	1
34	-0.495608	-0.072464	0.010000	1
35	-0.491217	-0.072464	0.010000	1
36	-0.486825	-0.072464	0.010000	1
37	-0.482433	-0.072464	0.010000	1
38	-0.478041	-0.072464	0.010000	1
39	-0.473650	-0.072464	0.010000	1
40	-0.469258	-0.072464	0.010000	1
41	-0.464866	-0.072464	0.010000	1
42	-0.460474	-0.072464	0.010000	1
43	-0.456083	-0.072464	0.010000	1
44	-0.451691	-0.072464	0.010000	1
45	-0.447299	-0.072464	0.010000	1
46	-0.442907	-0.072464	0.010000	1
47	-0.438516	-0.072464	0.010000	1
48	-0.434124	-0.072464	0.010000	1
49	-0.429732	-0.072464	0.010000	1
50	-0.425340	-0.072464	0.010000	1
51	-0.420949	-0.072464	0.010000	1
52	-0.416557	-0.072464	0.010000	1
53	-0.412165	-0.072464	0.010000	1
54	-0.407773	-0.072464	0.010000	1
55	-0.403382	-0.072464	0.010000	1
56	-0.398990	-0.072464	0.010000	1
57	-0.394598	-0.072464	0.010000	1
58	-0.390206	-0.072464	0.010000	1
59	-0.385815	-0.072464	0.010000	1
60	-0.381423	-0.072464	0.010000	1
61	-0.377031	-0.072464	0.010000	1
62	-0.372639	-0.072464	0.010000	1
63	-0.368248	-0.072464	0.010000	1
64	-0.363856	-0.072464	0.010000	1
65	-0.359464	-0.072464	0.010000	1
66	-0.355072	-0.072464	0.010000	1
67	-0.355072	-0.054897	0.010000	1
68	-0.355072	-0.050505	0.010000	1
69	-0.355072	-0.046113	0.010000	1
70	-0.355072	-0.041722	0.010000	1
71	-0.355072	-0.037330	0.010000	1
72	-0.355072	-0.032938	0.010000	1
73	-0.355072	-0.028546	0.010000	1
74	-0.355072	-0.024155	0.010000	1
75	-0.355072	-0.019763	0.010000	1
76	-0.355072	-0.015371	0.010000	1
77	-0.355072	-0.010979	0.010000	1
78	-0.355072	-0.006588	0.010000	1
79	-0.355072	-0.002196	0.010000	1
80	-0.355072	0.002196	0.010000	1
81	-0.355072	0.006588	0.010000	1
82	-0.355072	0.010979	0.010000	1
83	-0.355072	0.015371	0.010000	1
84	-0.355072	0.019763	0.010000	1
85	-0.355072	0.024155	0.010000	1
86	-0.355072	0.028546	0.010000	1
87	-0.355072	0.032938	0.010000	1
88	-0.355072	0.037330	0.010000	1
89	-0.355072	0.041722	0.010000	1
90	-0.355072	0.046113	0.010000	1
91	-0.355072	0.050505	0.010000	1
92	-0.355072	0.054897	0.010000	1
93	-0.355072	0.059289	0.010000	1
94	-0.355072	0.063680	0.010000	1
95	-0.355072	0.068072	0.010000	1
96	-0.355072	0.072464	0.010000	1
97	-0.359464	0.072464	0.010000	1
98	-0.363856	0.072464	0.010000	1
99	-0.368248	0.072464	0.010000	1
100	-0.372639	0.072464	0.010000	1
101	-0.377031	0.072464	0.010000	1
102	-0.381423	0.072464	0.010000	1
103	-0.385815	0.072464	0.010000	1
104	-0.390206	0.072464	0.010000	1
105	-0.394598	0.072464	0.010000	1
106	-0.398990	0.072464	0.010000	1
107	-0.403382	0.072464	0.010000	1
108	-0.407773	0.072464	0.010000	1
109	-0.412165	0.072464	0.010000	1
110	-0.416557	0.072464	0.010000	1
111	-0.420949	0.072464	0.010000	1
112	-0.425340	0.072464	0.010000	1
113	-0.429732	0.072464	0.010000	1
114	-0.434124	0.072464	0.010000	1
115	-0.438516	0.072464	0.010000	1
116	-0.442907	0.072464	0.010000	1
117	-0.447299	0.072464	0.010000	1
118	-0.451691	0.072464	0.010000	1
119	-0.456083	0.072464	0.010000	1
120	-0.460474	0.072464	0.010000	1
121	-0.464866	0.072464	0.010000	1
122	-0.469258	0.072464	0.010000	1
123	-0.473650	0.072464	0.010000	1
124	-0.478041	0.072464	0.010000	1
125	-0.482433	0.072464	0.010000	1
126	-0.486825	0.072464	0.010000	1
127	-0.491217	0.072464	0.010000	1
128	-0.495608	0.072464	0.010000	1
129	-0.350681	-0.072464	0.010000	1
130	-0.346289	-0.072464	0.010000	1
131	-0.341897	-0.072464	0.010000	1
132	-0.337505	-0.072464	0.010000	1
133	-0.333114	-0.072464	0.010000	1
134	-0.328722	-0.072464	0.010000	1
135	-0.324330	-0.072464	0.010000	1
136	-0.319939	-0.072464	0.010000	1
137	-0.315547	-0.072464	0.010000	1
138	-0.311155	-0.072464	0.010000	1
139	-0.306763	-0.072464	0.010000	1
140	-0.302372	-0.072464	0.010000	1
141	-0.297980	-0.072464	0.010000	1
142	-0.293588	-0.072464	0.010000	1
143	-0.289196	-0.072464	0.010000	1
144	-0.284805	-0.072464	0.010000	1
145	-0.280413	-0.072464	0.010000	1
146	-0.276021	-0.072464	0.010000	1
147	-0.271629	-0.072464	0.010000	1
148	-0.267238	-0.072464	0.010000	1
149	-0.262846	-0.072464	0.010000	1
150	-0.258454	-0.072464	0.010000	1
151	-0.254062	-0.072464	0.010000	1
152	-0.249671	-0.072464	0.010000	1
153	-0.245279	-0.072464	0.010000	1
154	-0.240887	-0.072464	0.010000	1
