id	posx	posy	h	type	mass	dx	dy
0	-0.500000	0.083333	0.002500	1	0.006250	0.002500	0.002500
1	-0.500000	0.080808	0.002500	1	0.006250	0.002500	0.002500
2	-0.500000	0.078283	0.002500	1	0.006250	0.002500	0.002500
3	-0.500000	0.075758	0.002500	1	0.006250	0.002500	0.002500
4	-0.500000	0.073232	0.002500	1	0.006250	0.002500	0.002500
5	-0.500000	0.070707	0.002500	1	0.006250	0.002500	0.002500
6	-0.500000	0.068182	0.002500	1	0.006250	0.002500	0.002500
7	-0.500000	0.065657	0.002500	1	0.006250	0.002500	0.002500
8	-0.500000	0.063131	0.002500	1	0.006250	0.002500	0.002500
9	-0.500000	0.060606	0.002500	1	0.006250	0.002500	0.002500
10	-0.500000	0.058081	0.002500	1	0.006250	0.002500	0.002500
11	-0.500000	0.055556	0.002500	1	0.006250	0.002500	0.002500
12	-0.500000	0.053030	0.002500	1	0.006250	0.002500	0.002500
13	-0.500000	0.050505	0.002500	1	0.006250	0.002500	0.002500
14	-0.500000	0.047980	0.002500	1	0.006250	0.002500	0.002500
15	-0.500000	0.045455	0.002500	1	0.006250	0.002500	0.002500
16	-0.500000	0.042929	0.002500	1	0.006250	0.002500	0.002500
17	-0.500000	0.040404	0.002500	1	0.006250	0.002500	0.002500
18	-0.500000	0.037879	0.002500	1	0.006250	0.002500	0.002500
19	-0.500000	0.035354	0.002500	1	0.006250	0.002500	0.002500
20	-0.500000	0.032828	0.002500	1	0.006250	0.002500	0.002500
21	-0.500000	0.030303	0.002500	1	0.006250	0.002500	0.002500
22	-0.500000	0.027778	0.002500	1	0.006250	0.002500	0.002500
23	-0.500000	0.025253	0.002500	1	0.006250	0.002500	0.002500
24	-0.500000	0.022727	0.002500	1	0.006250	0.002500	0.002500
25	-0.500000	0.020202	0.002500	1	0.006250	0.002500	0.002500
26	-0.500000	0.017677	0.002500	1	0.006250	0.002500	0.002500
27	-0.500000	0.015152	0.002500	1	0.006250	0.002500	0.002500
28	-0.500000	0.012626	0.002500	1	0.006250	0.002500	0.002500
29	-0.500000	0.010101	0.002500	1	0.006250	0.002500	0.002500
30	-0.500000	0.007576	0.002500	1	0.006250	0.002500	0.002500
31	-0.500000	0.005051	0.002500	1	0.006250	0.002500	0.002500
32	-0.500000	0.002525	0.002500	1	0.006250	0.002500	0.002500
33	-0.500000	0.000000	0.002500	1	0.006250	0.002500	0.002500
34	-0.500000	-0.002525	0.002500	1	0.006250	0.002500	0.002500
35	-0.500000	-0.005051	0.002500	1	0.006250	0.002500	0.002500
36	-0.500000	-0.007576	0.002500	1	0.006250	0.002500	0.002500
37	-0.500000	-0.010101	0.002500	1	0.006250	0.002500	0.002500
38	-0.500000	-0.012626	0.002500	1	0.006250	0.002500	0.002500
39	-0.500000	-0.015152	0.002500	1	0.006250	0.002500	0.002500
40	-0.500000	-0.017677	0.002500	1	0.006250	0.002500	0.002500
41	-0.500000	-0.020202	0.002500	1	0.006250	0.002500	0.002500
42	-0.500000	-0.022727	0.002500	1	0.006250	0.002500	0.002500
43	-0.500000	-0.025253	0.002500	1	0.006250	0.002500	0.002500
44	-0.500000	-0.027778	0.002500	1	0.006250	0.002500	0.002500
45	-0.500000	-0.030303	0.002500	1	0.006250	0.002500	0.002500
46	-0.500000	-0.032828	0.002500	1	0.006250	0.002500	0.002500
47	-0.500000	-0.035354	0.002500	1	0.006250	0.002500	0.002500
48	-0.500000	-0.037879	0.002500	1	0.006250	0.002500	0.002500
49	-0.500000	-0.040404	0.002500	1	0.006250	0.002500	0.002500
50	-0.500000	-0.042929	0.002500	1	0.006250	0.002500	0.002500
51	-0.500000	-0.045455	0.002500	1	0.006250	0.002500	0.002500
52	-0.500000	-0.047980	0.002500	1	0.006250	0.002500	0.002500
53	-0.500000	-0.050505	0.002500	1	0.006250	0.002500	0.002500
54	-0.500000	-0.053030	0.002500	1	0.006250	0.002500	0.002500
55	-0.500000	-0.055556	0.002500	1	0.006250	0.002500	0.002500
56	-0.500000	-0.058081	0.002500	1	0.006250	0.002500	0.002500
57	-0.500000	-0.060606	0.002500	1	0.006250	0.002500	0.002500
58	-0.500000	-0.063131	0.002500	1	0.006250	0.002500	0.002500
59	-0.500000	-0.065657	0.002500	1	0.006250	0.002500	0.002500
60	-0.500000	-0.068182	0.002500	1	0.006250	0.002500	0.002500
61	-0.500000	-0.070707	0.002500	1	0.006250	0.002500	0.002500
62	-0.500000	-0.073232	0.002500	1	0.006250	0.002500	0.002500
63	-0.500000	-0.075758	0.002500	1	0.006250	0.002500	0.002500
64	-0.500000	-0.078283	0.002500	1	0.006250	0.002500	0.002500
65	-0.500000	-0.080808	0.002500	1	0.006250	0.002500	0.002500
66	-0.500000	-0.083333	0.002500	1	0.006250	0.002500	0.002500
67	-0.497475	-0.083333	0.002500	1	0.006250	0.002500	0.002500
68	-0.494949	-0.083333	0.002500	1	0.006250	0.002500	0.002500
69	-0.492424	-0.083333	0.002500	1	0.006250	0.002500	0.002500
70	-0.489899	-0.083333	0.002500	1	0.006250	0.002500	0.002500
71	-0.487374	-0.083333	0.002500	1	0.006250	0.002500	0.002500
72	-0.484848	-0.083333	0.002500	1	0.006250	0.002500	0.002500
73	-0.482323	-0.083333	0.002500	1	0.006250	0.002500	0.002500
74	-0.479798	-0.083333	0.002500	1	0.006250	0.002500	0.002500
75	-0.477273	-0.083333	0.002500	1	0.006250	0.002500	0.002500
76	-0.474747	-0.083333	0.002500	1	0.006250	0.002500	0.002500
77	-0.472222	-0.083333	0.002500	1	0.006250	0.002500	0.002500
78	-0.469697	-0.083333	0.002500	1	0.006250	0.002500	0.002500
79	-0.467172	-0.083333	0.002500	1	0.006250	0.002500	0.002500
80	-0.464646	-0.083333	0.002500	1	0.006250	0.002500	0.002500
81	-0.462121	-0.083333	0.002500	1	0.006250	0.002500	0.002500
82	-0.459596	-0.083333	0.002500	1	0.006250	0.002500	0.002500
83	-0.457071	-0.083333	0.002500	1	0.006250	0.002500	0.002500
84	-0.454545	-0.083333	0.002500	1	0.006250	0.002500	0.002500
85	-0.452020	-0.083333	0.002500	1	0.006250	0.002500	0.002500
86	-0.449495	-0.083333	0.002500	1	0.006250	0.002500	0.002500
87	-0.446970	-0.083333	0.002500	1	0.006250	0.002500	0.002500
88	-0.444444	-0.083333	0.002500	1	0.006250	0.002500	0.002500
89	-0.441919	-0.083333	0.002500	1	0.006250	0.002500	0.002500
90	-0.439394	-0.083333	0.002500	1	0.006250	0.002500	0.002500
91	-0.436869	-0.083333	0.002500	1	0.006250	0.002500	0.002500
92	-0.434343	-0.083333	0.002500	1	0.006250	0.002500	0.002500
93	-0.431818	-0.083333	0.002500	1	0.006250	0.002500	0.002500
94	-0.429293	-0.083333	0.002500	1	0.006250	0.002500	0.002500
95	-0.426768	-0.083333	0.002500	1	0.006250	0.002500	0.002500
96	-0.424242	-0.083333	0.002500	1	0.006250	0.002500	0.002500
97	-0.421717	-0.083333	0.002500	1	0.006250	0.002500	0.002500
98	-0.419192	-0.083333	0.002500	1	0.006250	0.002500	0.002500
99	-0.416667	-0.083333	0.002500	1	0.006250	0.002500	0.002500
100	-0.414141	-0.083333	0.002500	1	0.006250	0.002500	0.002500
101	-0.411616	-0.083333	0.002500	1	0.006250	0.002500	0.002500
102	-0.409091	-0.083333	0.002500	1	0.006250	0.002500	0.002500
103	-0.406566	-0.083333	0.002500	1	0.006250	0.002500	0.002500
104	-0.404040	-0.083333	0.002500	1	0.006250	0.002500	0.002500
105	-0.401515	-0.083333	0.002500	1	0.006250	0.002500	0.002500
106	-0.398990	-0.083333	0.002500	1	0.006250	0.002500	0.002500
107	-0.396465	-0.083333	0.002500	1	0.006250	0.002500	0.002500
108	-0.393939	-0.083333	0.002500	1	0.006250	0.002500	0.002500
109	-0.391414	-0.083333	0.002500	1	0.006250	0.002500	0.002500
110	-0.388889	-0.083333	0.002500	1	0.006250	0.002500	0.002500
111	-0.386364	-0.083333	0.002500	1	0.006250	0.002500	0.002500
112	-0.383838	-0.083333	0.002500	1	0.006250	0.002500	0.002500
113	-0.381313	-0.083333	0.002500	1	0.006250	0.002500	0.002500
114	-0.378788	-0.083333	0.002500	1	0.006250	0.002500	0.002500
115	-0.376263	-0.083333	0.002500	1	0.006250	0.002500	0.002500
116	-0.373737	-0.083333	0.002500	1	0.006250	0.002500	0.002500
117	-0.371212	-0.083333	0.002500	1	0.006250	0.002500	0.002500
118	-0.368687	-0.083333	0.002500	1	0.006250	0.002500	0.002500
119	-0.366162	-0.083333	0.002500	1	0.006250	0.002500	0.002500
120	-0.363636	-0.083333	0.002500	1	0.006250	0.002500	0.002500
121	-0.361111	-0.083333	0.002500	1	0.006250	0.002500	0.002500
122	-0.358586	-0.083333	0.002500	1	0.006250	0.002500	0.002500
123	-0.356061	-0.083333	0.002500	1	0.006250	0.002500	0.002500
124	-0.353535	-0.083333	0.002500	1	0.006250	0.002500	0.002500
125	-0.351010	-0.083333	0.002500	1	0.006250	0.002500	0.002500
126	-0.348485	-0.083333	0.002500	1	0.006250	0.002500	0.002500
127	-0.345960	-0.083333	0.002500	1	0.006250	0.002500	0.002500
128	-0.343434	-0.083333	0.002500	1	0.006250	0.002500	0.002500
129	-0.340909	-0.083333	0.002500	1	0.006250	0.002500	0.002500
130	-0.338384	-0.083333	0.002500	1	0.006250	0.002500	0.002500
131	-0.335859	-0.083333	0.002500	1	0.006250	0.002500	0.002500
132	-0.333333	-0.083333	0.002500	1	0.006250	0.002500	0.002500
